Timestamp:  12:00:05  | %CPU idle:  96,4  | %CPU user:  0,4  | %CPU system:  1,4
Timestamp:  12:00:10  | %CPU idle:  99,8  | %CPU user:  0,0  | %CPU system:  0,2
Timestamp:  12:00:15  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:00:20  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:00:25  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:00:30  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:00:35  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:00:40  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:00:45  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:00:50  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:00:55  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:01:00  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:01:06  | %CPU idle:  99,8  | %CPU user:  0,1  | %CPU system:  0,2
Timestamp:  12:01:11  | %CPU idle:  100,0  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:01:16  | %CPU idle:  99,6  | %CPU user:  0,2  | %CPU system:  0,2
Timestamp:  12:01:21  | %CPU idle:  99,5  | %CPU user:  0,2  | %CPU system:  0,3
Timestamp:  12:01:26  | %CPU idle:  98,7  | %CPU user:  0,4  | %CPU system:  0,5
Timestamp:  12:01:31  | %CPU idle:  98,3  | %CPU user:  0,7  | %CPU system:  1,0
Timestamp:  12:01:36  | %CPU idle:  97,6  | %CPU user:  0,7  | %CPU system:  1,6
Timestamp:  12:01:41  | %CPU idle:  99,6  | %CPU user:  0,1  | %CPU system:  0,3
Timestamp:  12:01:46  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:01:51  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:01:56  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:02:01  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
Timestamp:  12:02:06  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:02:11  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,0
Timestamp:  12:02:16  | %CPU idle:  99,9  | %CPU user:  0,0  | %CPU system:  0,1
