Timestamp,% global CPU,Capacidad de memoria utilizada,% Memoria utilizada
13:43:19,0.2,787152,19.50
13:43:24,0.2,787648,19.51
13:43:29,0.1,787776,19.52
13:43:35,0.1,788152,19.52
13:43:39,0.1,787880,19.52
13:43:44,0.2,788376,19.53
13:43:49,0.1,788000,19.52
13:43:54,0.1,787792,19.52
13:43:59,0.1,788832,19.54
13:44:04,0.1,788208,19.53
13:44:09,0.1,787896,19.52
13:44:15,0.1,788836,19.54
13:44:19,0.0,787900,19.52
13:44:24,0.3,788368,19.53
13:44:29,0.1,788516,19.53
13:44:34,0.1,788544,19.53
13:44:39,0.1,788764,19.54
13:44:44,0.1,788368,19.53
13:44:49,0.1,789180,19.55
13:44:55,0.1,788868,19.54
13:44:59,0.2,788852,19.54
13:45:04,0.1,788384,19.53
13:45:09,0.1,788600,19.54
13:45:14,0.1,788496,19.53
13:45:19,0.1,788224,19.53
13:45:24,0.1,788876,19.54
13:45:29,0.2,788700,19.54
13:45:35,0.1,788644,19.54
13:45:39,0.1,788680,19.54
13:45:44,0.1,789020,19.55
13:45:49,0.1,789164,19.55
13:45:54,0.2,789256,19.55
13:46:00,0.0,788616,19.54
13:46:04,0.1,789272,19.55
13:46:09,0.1,788460,19.53
13:46:15,0.1,788964,19.54
13:46:19,0.1,788940,19.54
13:46:24,0.1,788812,19.54
13:46:29,0.1,789268,19.55
13:46:34,0.1,789252,19.55
13:46:39,0.1,788500,19.53
13:46:44,0.1,789020,19.55
13:46:49,0.4,789576,19.56
13:46:55,0.1,788744,19.54
13:46:59,0.0,789416,19.56
13:47:04,0.1,789568,19.56
13:47:09,0.0,788892,19.54
13:47:14,0.2,789128,19.55
13:47:19,0.2,789364,19.55
13:47:24,0.1,789604,19.56
13:47:29,0.1,789824,19.57
13:47:35,0.1,789156,19.55
13:47:39,0.1,789772,19.56
13:47:44,0.1,789244,19.55
13:47:50,0.1,788996,19.55
13:47:55,0.1,789232,19.55
13:48:00,0.1,789008,19.55
13:48:05,0.1,789136,19.55
13:48:10,0.1,789488,19.56
13:48:16,0.1,789884,19.57
13:48:20,0.1,790028,19.57
13:48:25,0.0,789776,19.56
13:48:31,0.1,789932,19.57
13:48:35,0.2,789984,19.57
13:48:40,0.1,789568,19.56
13:48:45,0.1,790412,19.58
13:48:50,0.1,790420,19.58
13:48:55,0.1,790092,19.57
13:49:00,0.0,790392,19.58
